基因	基因ID	阳性数
DMD	1756	1208
SMN1	6606	143
NPHP1	4867	95
PMP22	5376	89
NF1	4763	81
PRRT2	112476	80
CFHR3	10878	53
CFHR1	3078	50
PLP1	5354	40
MECP2	4204	39
ERCC8	1161	36
TSC2	7249	36
STS	412	35
COL4A5	1287	34
SHANK3	85358	32
KCNQ2	3785	24
ELN	2006	23
NPRL3	8131	23
CYP21A2	1589	22
CLCNKB	1188	20
TMLHE	55217	18
SLC12A3	6559	16
HBA2	3040	14
SCN1A	6323	14
UBE3A	7337	13
CLCN5	1184	12
HBA1	3039	12
IDS	3423	12
NF2	4771	12
STXBP1	6812	12
STX16	8675	12
COL4A4	1286	11
LAMA2	3908	11
SHOX	6473	11
EYA1	2138	10
MEF2C	4208	10
PAFAH1B1	5048	10
CDKL5	6792	10
HNF1B	6928	10
DEPDC5	9681	10
EHMT1	79813	10
PAH	5053	9
PHEX	5251	9
PKD1	5310	9
SCN2A	6326	9
SNRPN	6638	9
TCF4	6925	9
CASK	8573	9
MED13L	23389	9
VPS13B	157680	9
ATP7B	540	8
GRIN2A	2903	8
PARK2	5071	8
PRKN	5071	8
TSC1	7248	8
TRIP12	9320	8
RAI1	10743	8
AUTS2	26053	8
ARID1B	57492	8
STRC	161497	8
F8	2157	7
OCA2	4948	7
OTC	5009	7
OPN1LW	5956	7
TTN	7273	7
NRXN1	9378	7
ATP7A	538	6
CREBBP	1387	6
ERCC6	2074	6
AFF2	2334	6
GABRB3	2562	6
LDLR	3949	6
SLC2A1	6513	6
SSR4	6748	6
TBX1	6899	6
SLC9A6	10479	6
PACS2	23241	6
ANKRD11	29123	6
PCDH19	57526	6
WDR26	80232	6
NR0B1	190	5
KIF1A	547	5
CACNA1A	773	5
CHD2	1106	5
GLB1	2720	5
MTM1	4534	5
NPHS1	4868	5
OPHN1	4983	5
RB1	5925	5
SPAST	6683	5
ZEB2	9839	5
ZMYND11	10771	5
POGZ	23126	5
CNTNAP2	26047	5
PRPF31	26121	5
MBD5	55777	5
NIPA1	123606	5
EYS	346007	5
ATRX	546	4
AVPR2	554	4
C4B	721	4
CEL	1056	4
CFTR	1080	4
EDA	1896	4
FANCA	2175	4
GABRG2	2566	4
OPN1MW	2652	4
GHR	2690	4
HNRNPU	3192	4
KAL1	3730	4
MUT	4594	4
NEB	4703	4
PAX6	5080	4
SLC26A4	5172	4
RPS6KA3	6197	4
RS1	6247	4
SLC6A8	6535	4
SMARCA2	6595	4
SOX5	6660	4
ABCC8	6833	4
TBX6	6911	4
KDM6A	7403	4
WT1	7490	4
LZTR1	8216	4
MLXIPL	51085	4
SBDS	51119	4
CHD8	57680	4
PTCHD1	139411	4
EBF3	253738	4
ISPD	729920	4
CRPPA	729920	4
ANK1	286	3
ARSA	410	3
ATM	472	3
BTK	695	3
CACNA1C	775	3
CAPN3	825	3
CHRNA7	1139	3
TPP1	1200	3
COL4A1	1282	3
COL4A3	1285	3
CYBB	1536	3
CYP11B1	1584	3
DYNC1H1	1778	3
EP300	2033	3
FBN1	2200	3
FGFR3	2261	3
FLNA	2316	3
FMR1	2332	3
GCH1	2643	3
GH1	2688	3
GJB1	2705	3
GNB1	2782	3
GRIN2B	2904	3
HP	3240	3
HPD	3242	3
HPRT1	3251	3
INSR	3643	3
KIF11	3832	3
SH2D1A	4068	3
MLL	4297	3
NFIX	4784	3
PAX2	5076	3
SLC3A1	6519	3
SLC6A1	6529	3
SLC6A3	6531	3
SPTB	6710	3
STK11	6794	3
TCF20	6942	3
NKX2-1	7080	3
BRPF1	7862	3
CUBN	8029	3
KDM5C	8242	3
PLA2G6	8398	3
IKBKG	8517	3
DGCR2	9993	3
HUWE1	10075	3
MICU1	10367	3
ARHGEF9	23229	3
SATB2	23314	3
SACS	26278	3
NSDHL	50814	3
WAC	51322	3
WWOX	51741	3
MAGEL2	54551	3
SETD5	55209	3
ATAD3A	55210	3
GATAD2B	57459	3
NAA15	80155	3
FBXO11	80204	3
DOCK8	81704	3
NLRP12	91662	3
NDUFAF2	91942	3
CATSPER2	117155	3
FLCN	201163	3
BRWD3	254065	3
LAMA1	284217	3
ACAT1	38	2
ADA	100	2
JAG1	182	2
AGXT	189	2
ANK2	287	2
AIRE	326	2
AR	367	2
ASPA	443	2
ALDH7A1	501	2
ATP6V0C	527	2
BMPR1A	657	2
CACNA1S	779	2
CLN3	1201	2
COL4A2	1284	2
COL4A6	1288	2
CPT1A	1374	2
CSNK2A1	1457	2
CTNNB1	1499	2
CTNND2	1501	2
CYP19A1	1588	2
DAZ1	1617	2
DDC	1644	2
DLG4	1742	2
DNM1	1759	2
DNAH5	1767	2
DNMT3A	1788	2
DYRK1A	1859	2
ELANE	1991	2
ENG	2022	2
F7	2155	2
FBP1	2203	2
G6PC	2538	2
GATA4	2626	2
GBA	2629	2
GDI1	2664	2
GJA5	2702	2
GPC3	2719	2
GLDC	2731	2
HSD17B3	3293	2
IDH2	3418	2
IGF1R	3480	2
IGHMBP2	3508	2
IL2RG	3561	2
JARID2	3720	2
KIF5C	3800	2
KIF22	3835	2
LAMP2	3920	2
EPCAM	4072	2
MID1	4281	2
MYCN	4613	2
NFIA	4774	2
NTRK1	4914	2
OCRL	4952	2
PCCA	5095	2
PCCB	5096	2
PCNT	5116	2
PIK3CD	5293	2
POLG	5428	2
PRODH	5625	2
PRPS1	5631	2
PRSS1	5644	2
RELN	5649	2
PSMD12	5718	2
PTEN	5728	2
RAC1	5879	2
RORA	6095	2
RPGR	6103	2
