#chr	start	end
chr1	521000	585000
chr1	149036461	149424401
chr1	224191000	224212000
chr1	228736000	228796000
chr10	38770710	39125639
chr10	42355568	42600107
chr11	4210000	4350000
chr11	48766000	48979000
chr11	50641000	50778000
chr11	51544000	51594000
chr11	54910000	55030000
chr11	55337188	55466797
chr12	60001	96000
chr12	37970000	38170000
chr14	19431721	20428187
chr15	1	22596193
chr16	222875	223709
chr16	226679	227521
chr16	21845884	21869077
chr16	32316933	34023150
chr16	46385802	46438474
chr16	90150000	90290000
chr17	21892483	22248094
chr17	36284836	36407149
chr19	20573416	20727204
chr19	27740000	27940000
chr19	36743257	37814810
chr2	89848152	90396706
chr2	91595104	92309403
chr2	132962000	133041000
chr21	1	11188129
chr22	1	16847850
chr22	18632667	18905412
chr22	24273080	24393080
chr3	90313000	90505000
chr4	49120049	49516818
chr4	52660118	52685961
chr4	69327615	70236186
chr5	69345350	69373422
chr5	70220768	70248839
chr6	29691117	29695073
chr6	29794756	29798899
chr6	29910309	29913647
chr6	30457286	30461971
chr6	31236526	31239869
chr6	31321652	31324956
chr6	32407664	32412823
chr6	32485130	32498064
chr6	32546546	32557613
chr6	32605183	32611461
chr6	32627244	32634434
chr6	32709168	32714975
chr6	32723875	32731309
chr6	32780540	32784779
chr6	32902413	32908805
chr6	32916395	32920874
chr6	32971959	32977368
chr6	33032346	33048525
chr6	33043767	33057473
chr7	57928000	58054000
chr7	61077576	62776678
chr7	102130100	102288936
chr8	39226992	39388788
chr8	43083186	43822697
chr8	46838888	46854960
chr9	40582997	70684698
chrX	61720000	61920000
chrY	9910000	10080000
chrY	13800000	13890000
